"name","iso","country","entity_type","region","area","area_units","gdp","initiatives_committed","num_commit","lat","lng","population","population_year","state"
"Tulln","AUT","Austria","City","Europe",20.24,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,48.3311686,16.0567744,15582,NA,"Lower Austria"
"Tulua","COL","Colombia","City","Latin America and Caribbean",910.55,"km2",NA,"CDPCities2018",1,4.08618,-76.1979,209086,2017,"Valle del Cauca"
"Tumwater, WA","USA","United States of America","City","North America",45.14353,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,46.9854,-122.91168,23040,2010,"Washington"
"Tungurahua","ECU","Ecuador","Region","Latin America and Caribbean",NA,"",NA,"Carbonn2019",1,-1.47,-78.44472222,581389,NA,"Tungurahua"
"Tupã","BRA","Brazil","City","Latin America and Caribbean",NA,"",NA,"CDPCities2018",1,-21.934,-50.5196,63476,2010,"Paraná"
"Tupaciguara","BRA","Brazil","City","Latin America and Caribbean",NA,"",NA,"GlobalCovenantofMayors2019;NAZCA",2,-18.5938307,-48.7043878,25638,NA,"Minas Gerais"
"Turís","ESP","Spain","City","Europe",80.5,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,39.3898717,-0.7104919,6588,2018,"Valencia"
"Turón","ESP","Spain","City","Europe",NA,"",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,36.8643765,-3.0575116,325,NA,"Granada"
"Turbigo","ITA","Italy","City","Europe",8.52,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,45.53333333,8.733333333,7455,NA,"Lombardy"
"Turcianske Teplice","SVK","Slovakia","City","Europe",33.483,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,48.85888889,18.86361111,6784,NA,"Žilina"
"Turin","ITA","Italy","City","Europe",6829,"km2",NA,"Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;EUCovenantofMayors2019;NAZCA",5,45.07916667,7.676111111,2308409,NA,"Piedmont"
"Turka","UKR","Ukraine","City","Eastern Europe and Central Asia",NA,"",NA,"GlobalCovenantofMayors2019;NAZCA",2,49.15406,23.028006,7440,2013,"Turka Raion"
"Turku","FIN","Finland","City","Europe",306.37,"",NA,"Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;CDPCities2018;NAZCA",5,60.45,22.26666667,184190,2016,"Southwest Finland"
