"name","iso","entity_type","country","area","num_commit","lat","lng","population","population_year","state","admin_1","initiatives_committed","region"
"Abarzuza","ESP","City","Spain","23.02",3,42.72639,-2.0225,550,2018,NA,"Navarra","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Abasan Al-Kabira","PSE","City","Palestine","NaN",3,31.3238491,34.3497101,32000,2017,"State of Palestine","Khan Yunis","CDPCities2022;;GCoMEuropeanCommission2021;;GCoM2022","Middle East and North Africa"
"Abbadia Lariana","ITA","City","Italy","16.67",2,45.9,9.333333333,3249,NA,"Lecco",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Abbasanta","ITA","City","Italy","39.85",2,40.117,8.817,2872,NA,"Oristano","Oristano","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Abbateggio","ITA","City","Italy","15.4",3,42.23333333,14.01666667,443,NA,"Pescara",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Abbiategrasso","ITA","City","Italy","47.78",2,45.400767,8.918542,30000,NA,"Lombardy","Milan","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Abeche","TCD","City","Chad",NA,2,13.835912,20.843371,2e+05,2012,"Ouaddai Region",NA,"GlobalCovenantofMayors2019;NAZCA","Sub-Saharan Africa"
"Abegondo","ESP","Region","Spain","83.81",NA,43.20667,-8.31,5454,2018,"A Coruna","A Coruna","EUCovenantofMayors2021;GCoM2021","Europe"
"Aberdeen","GBR","City","United Kingdom","205.61",4,57.1452452,-2.0913744,213810,NA,"Scotland","United Kingdom","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022;;Race to Zero","Europe"
"Aberdeenshire","GBR","Region","United Kingdom","6313",3,57.16666667,-2.666666667,243510,NA,NA,NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Aberin","ESP","City","Spain","21.25",3,42.617,-2,356,2018,NA,"Navarre","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Abidjan","CIV","City","Cote d'Ivoire","422",4,5.316666667,-4.033333333,3677115,2016,NA,NA,"CDPCities2022;;GCoM2022;;C40Cities2022;;Race to Zero","Sub-Saharan Africa"
"Abiko","JPN","City","Japan","43.19",2,35.866667,140.033333,132999,2012,"Chiba Prefecture","Chiba Prefecture","JapanMOEZeroCarbonCities;;DDLNetZeroDB2020","East Asia and the Pacific"
"Abington, MA","USA","City","United States of America","9.9",NA,42.10472,-70.94583,15985,2010,"Massachusetts","Plymouth","CDPCities2020","North America"
"Abington, PA","USA","City","United States of America","25.122903",1,40.1241,-75.1195,55310,2010,"Pennsylvania","Montgomery County, PA","CDPCities2022","North America"
"Ablitas","ESP","City","Spain","7748",3,41.967,-1.633,2483,2018,NA,"Navarre","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Aboisso","CIV","City","Cote d'Ivoire",NA,2,5.474511,-3.203076,63332,2014,"Comoe","Sud-Comoe","GlobalCovenantofMayors2019;NAZCA","Sub-Saharan Africa"
"Abovyan","ARM","City","Armenia","11",3,40.27389,44.62556,43495,2011,NA,"Kotayk","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Eastern Europe and Central Asia"
"Abrantes","PRT","City","Portugal","714.69",2,39.44010295,-8.128236307,19132,2011,"Centro","SantarA(c)m","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Abrera","ESP","City","Spain","19.9",2,41.51666667,1.9,11521,2018,"Barcelona Province","Baix Llobregat","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Abriola","ITA","City","Italy","97.19",2,40.5078822,15.8137603,1617,NA,"Potenza",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Abrud","ROU","City","Romania","32",3,46.27389,23.06333,5072,2011,NA,"Alba","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Abruzzo","ITA","Region","Italy","10763",3,42.36611111,12.39444444,1326513,2016,NA,NA,"CDPStates&Regions2022;;States and Regions Annual Disclosure;;Under2 Coalition","Europe"
"Abuja","NGA","City","Nigeria","1769",2,9.07647,7.39857,2440000,2017,"Federal Capital Territory",NA,"CDPCities2022;;GCoM2022","Sub-Saharan Africa"
"Aburra Valley","COL","City","Colombia","1152",2,6,-75,3591963,NA,"Antioquia",NA,"Carbonn2019;NAZCA","Latin America and Caribbean"
"Acate","ITA","City","Italy","102.47",3,37.03388889,14.49416667,10432,NA,"Ragusa",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Accadia","ITA","City","Italy","30.74",2,41.16666667,15.33333333,2470,NA,"Foggia",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Accettura","ITA","City","Italy","90.37",2,40.48333333,16.15,2020,NA,"Matera",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Accettura, Cirigliano, Oliveto Lucano, Stigliano","ITA","City","Italy","90.37",1,40.483,16.15,1818,2017,"Matera","Basilicata","GCoMEuropeanCommission2021","Europe"
"Acciano","ITA","City","Italy","32.22",2,42.18333333,13.73333333,339,NA,"Province of L'Aquila",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Accra","GHA","City","Ghana","225.67",5,5.5600141,-0.2057436,1986580,2017,"Greater Accra Region",NA,"CDPCities2022;;C40Cities2022;;GCoM2022;;SEforALL: Building Efficiency Accelerator Platform;;Race to Zero","Sub-Saharan Africa"
"Acered","ESP","City","Spain","30",2,41.1704796,-1.6042984,243,2018,"Zaragoza",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acerenza","ITA","City","Italy","77.64",2,40.79690278,15.94068056,2623,NA,"Potenza",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acerno","ITA","City","Italy","72.5",2,40.733,15.05,2715,2017,"Salerno","Campania","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acharnes","GRC","City","Greece","149.96",2,38.08522,23.738064,80121,2011,"Attica","East Attica","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Aci Bonaccorsi","ITA","City","Italy","1.72",3,37.595517,15.109543,3272,NA,"Sicily","Catania","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Aci Castello","ITA","City","Italy","8.71",3,37.5542111,15.14856,18080,NA,"Catania",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Aci Catena","ITA","City","Italy","8.53",3,37.606435,15.141924,29662,2018,"Sicily","Catania","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Aci Sant'Antonio","ITA","City","Italy","14.3",3,37.6,15.117,18054,2016,NA,"Catania","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acigne","FRA","City","France",NA,2,48.13368,-1.53385,5246,2016,"Brittany","Liffre","GlobalCovenantofMayors2019;NAZCA","Europe"
"Acireale","ITA","City","Italy","40.43",3,37.6127773,15.1658804,53122,NA,"Catania",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acquafondata","ITA","City","Italy","25.32",3,41.55,13.95,267,2017,"Frosinone","Lazio","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acqualagna","ITA","City","Italy","50.8",2,43.617,12.667,4304,2004,"Pesaro and Urbino","Marche","GCoMEuropeanCommission2021;;GCoM2022","Europe"
