name,iso,entity_type,country,area,initiatives_committed,num_commit,lat,lng,population,population_year,state,admin_1,region
Abegondo,ESP,City,Spain,83.81,GlobalCovenantofMayors2019;NAZCA,2,43.21912,-8.297905,7509,2018,A Coruña,,Europe
Aci Sant'Antonio,ITA,City,Italy,14.33,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.6064186,15.1260733,17479,NA,Catania,,Europe
Acquanegra sul Chiese,ITA,City,Italy,28.01,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.16666667,10.43333333,3016,NA,Mantua,,Europe
Aggregazione BERNEZZO,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,44.3886068,7.4332093,5631,NA,Cuneo,,Europe
Aggregazione MARENE,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,44.6615577,7.7270091,5359,NA,Cuneo,,Europe
Aggregazione Sommariva del Bosco,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,44.768741,7.78533,21367,NA,Cuneo,,Europe
Aguilar de Segarra,ESP,City,Spain,43.3,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.7394902,1.6316676,257,2018,Barcelona Province,Bages,Europe
Aiello del Sabato,ITA,City,Italy,10.87,GlobalCovenantofMayors2019;NAZCA,2,40.884294,14.816278,4050,NA,Avellino,,Europe
Ajuntament d'Espinelves,ESP,City,Spain,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.8686935,2.4177195,201,NA,Girona,Osona,Europe
Alano di Piave,ITA,City,Italy,36.52,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.907803,11.9081948,2881,NA,Belluno,,Europe
Albalat de la Ribera,ESP,City,Spain,14.29,GlobalCovenantofMayors2019;NAZCA,2,39.2012627,-0.3866467,3485,2018,Valencia,Ribera Baixa,Europe
Albánchez de Mágina,ESP,City,Spain,39,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.79166667,-3.45,1326,2018,Jaén,Albanchez de Mágina,Europe
Albano di Lucania,ITA,City,Italy,55.87,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,40.587058,16.037129,1502,NA,Potenza,,Europe
Albano Sant'Alessandro,ITA,City,Italy,5.35,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.68333333,9.75,8075,NA,Bergamo,,Europe
Albaredo d'Adige,ITA,City,Italy,28.25,GlobalCovenantofMayors2019;NAZCA,2,45.316997,11.276161,5179,NA,Verona,,Europe
Albergaria-a-Velha,PRT,City,Portugal,158.83,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,40.69333333,-8.481111111,25252,2011,Centro,Aveiro,Europe
Alcalá de Guadaíra,ESP,City,Spain,284.61,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.3397709,-5.8408395,72100,2018,Seville,,Europe
Alcalá de los Gazules,ESP,City,Spain,479.59,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,36.46666667,-5.716666667,5619,2018,Cádiz,La Janda,Europe
Alcalá del Valle,ESP,City,Spain,46.89,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,36.905066,-5.1726099,5300,2018,Cádiz,Sierra de Cádiz,Europe
Alcalá la Real,ESP,City,Spain,262,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.45,-3.916666667,22129,2018,Jaén,Sierra Sur de Jaén,Europe
Alcàntera de Xúquer,ESP,City,Spain,3.3,GlobalCovenantofMayors2019;NAZCA,2,39.0694393,-0.5601547,1350,2018,Valencia,Ribera Alta,Europe
Alcara li Fusi,ITA,City,Italy,62.94,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.01666667,14.7,2473,NA,Sicily,Messina,Europe
Alcázar de San Juan,ESP,City,Spain,666.78,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,39.40555556,-3.205555556,31992,2018,Ciudad Real,,Europe
Alcocer de Planes,ESP,City,Spain,4.39,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.79444444,-0.4025,238,2018,Alicante,Comtat,Europe
Alcolea del Río,ESP,City,Spain,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.5180353,-5.9800362,9317,2005,Seville,,Europe
Alessandria della Rocca,ITA,City,Italy,62.24,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.56666667,13.45,3082,NA,Agrigento,,Europe
Alfândega da Fé,PRT,City,Portugal,321.95,Carbonn2019;GlobalCovenantofMayors2019;NAZCA,3,41.35555556,-6.945,5104,2011,Norte,Bragança,Europe
Alhama de Aragón,ESP,City,Spain,31,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.3,-1.9,1146,2018,Aragon,NA,Europe
Alhama de Granada,ESP,City,Spain,433.5,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.0028286,-3.9891095,6214,2018,Granada,Alhama,Europe
Alhama de Murcia,ESP,City,Spain,311.55,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.8515173,-1.4264423,20915,2018,Murcia,Bajo Guadalentín,Europe
Alhaurín de la Torre,ESP,City,Spain,83,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,36.66666667,-4.55,37446,2018,Málaga,Valle del Guadalhorce,Europe
Alhaurin el Grande,ESP,City,Spain,73.1,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,36.63305556,-4.683055556,21776,2018,Málaga,,Europe
Almadén de la Plata,ESP,City,Spain,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.8736407,-6.0804953,1696,NA,Seville,,Europe
Almonaster la Real,ESP,City,Spain,322,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.87333333,-6.786111111,1848,2018,Huelva,NA,Europe
Alquería de Aznar,ESP,City,Spain,1.08,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.77277778,-0.425833333,527,2018,Valencia,Comtat,Europe
Alter do Chão,PRT,City,Portugal,362.07,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,39.18333333,-7.65,3591,2011,Alentejo,Portalegre,Europe
Annone di Brianza,ITA,City,Italy,5.98,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.78333333,9.333333333,2296,NA,Lecco,,Europe
Antas de Almería,ESP,City,Spain,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.245218,-1.918142,3223,NA,Almería,,Europe
Anversa degli Abruzzi,ITA,City,Italy,32.43,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.9940179,13.8040518,368,NA,Province of L'Aquila,L'Aquila,Europe
Anzola dell'Emilia,ITA,City,Italy,36.6,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,44.546367,11.194608,11992,NA,Bologna,,Europe
Arcos de la Frontera,ESP,City,Spain,527.54,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,36.75,-5.8,29905,2018,Cádiz,NA,Europe
Arcos de Valdevez,PRT,City,Portugal,447.6,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.8471981,-8.4178819,22586,2011,Norte,Viana do Castelo,Europe
Arenas del Rey,ESP,City,Spain,116,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,36.95777778,-3.899722222,2202,2018,Granada,Comarca de Alhama,Europe
Arenys de Mar,ESP,City,Spain,6.8,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.5797031,2.5491562,14685,2018,Barcelona Province,Maresme,Europe
Arenys de Munt,ESP,City,Spain,21.3,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.6095429,2.5400513,8192,2018,Barcelona Province,Maresme,Europe
Armuña de Almanzora,ESP,City,Spain,8,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.3501535,-2.4151255,333,2018,Almería,Almanzora,Europe
Arrondissement de Namur,BEL,City,Belgium,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019,2,50.4665284,4.8661892,109113,NA,Namur,,Europe
Arroyo de la Luz,ESP,City,Spain,12,GlobalCovenantofMayors2019;NAZCA,2,39.48387,-6.581008,6392,2018,Cáceres,NA,Europe
Arroyo de San Serván,ESP,City,Spain,50.1,GlobalCovenantofMayors2019;NAZCA,2,38.85397,-6.453007,4253,2018,Badajoz,Tierra de Mérida Vegas Bajas,Europe
Arroyo del Ojanco,ESP,City,Spain,61,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.31666667,-2.883333333,2490,2018,Jaén,NA,Europe
Arroyomolinos de León,ESP,City,Spain,87,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.01666667,-6.416666667,1040,2018,Huelva,,Europe
Arruda dos Vinhos,PRT,City,Portugal,77.96,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.98333333,-9.066666667,11210,2011,Lisbon,,Europe
Artesa de Lleida,ESP,City,Spain,23.9,GlobalCovenantofMayors2019;NAZCA,2,41.553054,0.703374,1717,2018,Lleida,Segrià,Europe
Artesa de Segre,ESP,City,Spain,175.9,GlobalCovenantofMayors2019;NAZCA,2,41.89566,1.047242,3893,2018,Lleida,Noguera,Europe
Arzago d’Adda,ITA,City,Italy,9.31,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.4815134,9.5616783,2811,NA,Lombardy,Bergamo,Europe
Auronzo di Cadore,ITA,City,Italy,220.65,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.55,12.43333333,3513,NA,Belluno,,Europe
Azuqueca de Henares,ESP,City,Spain,19.68,GlobalCovenantofMayors2019;NAZCA,2,40.56526,-3.268402,35000,2018,Guadalajara,NA,Europe
Bacau County for CoM,ROU,City,Romania,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019,2,46.4208248,25.6147945,38488,NA,Bacau County,,Europe
Badia del Vallès,ESP,City,Spain,0.9,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.51055556,2.116944444,14064,2018,Barcelona Province,Vallès Occidental,Europe
Bagnara di Romagna,ITA,City,Italy,9.96,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,44.3891687,11.8264514,2330,NA,Ravenna,,Europe
Bagno di Romagna,ITA,City,Italy,233.52,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,43.83333333,11.96666667,6179,NA,Forlì-Cesena,,Europe
Bagnoli di Sopra,ITA,City,Italy,34.98,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.18333333,11.88333333,3646,NA,Padua,,Europe
Bagnolo in Piano,ITA,City,Italy,26.94,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,44.76666667,10.68333333,9711,NA,Reggio Emilia,,Europe
Baia e Latina,ITA,City,Italy,24.43,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.3,14.25,2348,NA,Campania,Caserta,Europe
Baños de la Encina,ESP,City,Spain,392,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.16666667,-3.766666667,2716,2018,Jaén,NA,Europe
Baños de Montemayor,ESP,City,Spain,21,GlobalCovenantofMayors2019;NAZCA,2,40.317589,-5.857806,765,2018,Cáceres,NA,Europe
Banyeres de Mariola,ESP,City,Spain,50.28,GlobalCovenantofMayors2019;NAZCA,2,38.7160124,-0.65689090000000006,7174,2018,Alacant,Alcoià,Europe
Banyeres del Penedès,ESP,City,Spain,12.2,GlobalCovenantofMayors2019;NAZCA,2,41.2791532,1.5813324,3103,2018,Tarragona,Baix Penedès,Europe
Barberà de la Conca,ESP,City,Spain,26.6,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.41111111,1.227777778,523,2018,Tarragona,Conca de Barberà,Europe
Barbera del Valles,ESP,City,Spain,8.3,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.51638889,2.124444444,31144,2018,Barcelona Province,Vallès Occidental,Europe
Barcellona Pozzo di Gotto,ITA,City,Italy,59.14,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,38.1456903,15.2152456,41644,NA,Sicily,Messina,Europe
Bari sardo,ITA,City,Italy,37.5,GlobalCovenantofMayors2019;NAZCA,2,39.842528,9.643148,3983,NA,Nuoro,,Europe
Baselga di Piné,ITA,City,Italy,41.07,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,46.1331207,11.2459281,5018,NA,Trentino-Alto Adige/Südtirol,Trentino,Europe
Bassano del Grappa,ITA,City,Italy,47.06,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.76666667,11.73333333,42947,NA,Vicenza,,Europe
Battipaglia e Montecorvino Pugliano,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,40.678477,14.94116,61323,NA,Campania,Salerno,Europe
Beas de Granada,ESP,City,Spain,23.2,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.21666667,-3.483333333,1069,2018,Granada,Vega de Granada,Europe
Beas de Guadix,ESP,City,Spain,NA,GlobalCovenantofMayors2019;NAZCA,2,37.278669,-3.206215,380,NA,Granada,,Europe
Beas de Segura,ESP,City,Spain,155,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,38.2526786,-2.8908721,5579,2018,Jaén,NA,Europe
Bedmar y Garcíez,ESP,City,Spain,119,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.83241575,-3.423530295,3185,2018,Jaén,NA,Europe
Bellcaire d'Empordà,ESP,City,Spain,12.6,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,42.08083333,3.096111111,667,2018,Girona,Baix Empordà,Europe
Bellcaire d'Urgell,ESP,City,Spain,31.4,GlobalCovenantofMayors2019;NAZCA,2,41.758344,0.90447,1350,2018,Lleida,La Noguera,Europe
Bellver de Cerdanya,ESP,City,Spain,98.2,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,42.3725,1.777222222,2232,2018,Lleida,Cerdanya,Europe
Bélmez de la Moraleda,ESP,City,Spain,49,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.71666667,-3.366666667,1752,2018,Jaén,Sierra Mágina,Europe
Belmonte del Sannio,ITA,City,Italy,20.32,GlobalCovenantofMayors2019;NAZCA,2,41.821745,14.421619,855,NA,Isernia,,Europe
Benalúa de Guadix,ESP,City,Spain,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.35177715,-3.164290807,3111,NA,Granada,,Europe
Benavent de Segrià,ESP,City,Spain,7.4,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.69583333,0.633055556,1525,2018,Lleida,Segrià,Europe
Benifairo de la Valldigna,ESP,City,Spain,20.2,GlobalCovenantofMayors2019;NAZCA,2,39.054798,-0.303102,1600,2018,Valencia,Safor,Europe
Berbenno di Valtellina,ITA,City,Italy,35.6,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.16666667,9.75,4279,NA,Sondrio,,Europe
Beregazzo con Figliaro,ITA,City,Italy,3.8,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.7761227,8.9508829,2589,NA,Como,,Europe
Bernuy de Porreros,ESP,City,Spain,9,GlobalCovenantofMayors2019;NAZCA,2,40.999414,-4.118757,630,2018,Segovia,,Europe
Besana in Brianza,ITA,City,Italy,15.76,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.7018039,9.288298,15500,NA,Monza Brianza,Monza and Brianza,Europe
Bigues i Riells,ESP,City,Spain,28.6,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.68296785,2.208388579,8401,2018,Barcelona Province,Vallès Oriental,Europe
Boadella i les Escaules,ESP,City,Spain,10.8,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,42.3283968,2.864085429,256,2018,Girona,Alt Empordà,Europe
Boffalora d'Adda,ITA,City,Italy,8.13,GlobalCovenantofMayors2019;NAZCA,2,45.358903,9.495219,1304,NA,Lodi,,Europe
Bollullos del Condado,ESP,City,Spain,50,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.3382055,-6.5384657,13891,NA,Huelva,Bollullos Par del Condado,Europe
Bonrepòs i Mirambell,ESP,City,Spain,1.05,GlobalCovenantofMayors2019;NAZCA,2,39.5173822,-0.3652983,3566,2018,Valencia,Horta Nord,Europe
Borca di Cadore,ITA,City,Italy,3610,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.14083333,12.21555556,783,NA,Belluno,,Europe
Borghetto di Vara,ITA,City,Italy,27.34,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,44.21666667,9.716666667,998,NA,Liguria,La Spezia,Europe
Borgo di Terzo,ITA,City,Italy,1.83,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.7217865,9.8948477,1134,NA,Bergamo,,Europe
Borgofranco d'Ivrea,ITA,City,Italy,13.42,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.51286,7.858017,3780,NA,Turin,,Europe
Borgofranco sul po',ITA,City,Italy,15.07,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.0488123,11.2052709,803,NA,Lombardy,Mantua,Europe
Bormida delle Alpi,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,44.2696192,8.1955749,3084,NA,Liguria,Cuneo,Europe
Bourg-la-Reine,FRA,City,France,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,48.7793096,2.3160386,19900,NA,Île-de-France,Bagneux,Europe
Braine-le-Comte,BEL,City,Belgium,84.68,GlobalCovenantofMayors2019;NAZCA,2,50.60936,4.13484,21271,NA,Hainaut,Soignies,Europe
Brembate di Sopra,ITA,City,Italy,4.14,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.716763,9.5794156,7832,NA,Bergamo,,Europe
Brenzone sul Garda,ITA,City,Italy,51.59,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.6928612,10.7720118,2504,NA,Venice,Verona,Europe
Brighton and Hove,GBR,City,United Kingdom,NA,GlobalCovenantofMayors2019;NAZCA,2,50.820599,-0.139933,273369,NA,East Sussex,Hove,Europe
Brignano Gera d'Adda,ITA,City,Italy,12.11,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.53333333,9.633333333,6000,NA,Bergamo,,Europe
Budapest IV. District Újpest,HUN,City,Hungary,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,47.57777895,19.09316413,98800,NA,Central Hungary,,Europe
Buenavista del Norte,ESP,City,Spain,67.4174397,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,28.37,-16.85,4961,2018,Santa Cruz de Tenerife,Tenerife,Europe
Burago di Molgora,ITA,City,Italy,3.43,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.596476,9.381649,4300,NA,Monza Brianza,Monza and Brianza,Europe
Burgos,ITA,City,Italy,107.08,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,40.3904153,8.9937904,958,2018,Sardinia,Sassari,Europe
Bussi sul Tirino,ITA,City,Italy,25.91,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,42.2,13.81666667,2718,NA,Pescara,,Europe
Ca' d'Andrea,ITA,City,Italy,17.11,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.11666667,10.26666667,467,NA,Lombardy,Cremona,Europe
Cabeceiras de Basto,PRT,City,Portugal,241.82,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.5136392,-7.9878131,17000,2011,Norte,Braga,Europe
Cabeza del Buey,ESP,City,Spain,475.06,GlobalCovenantofMayors2019;NAZCA,2,38.722634,-5.218838,5315,2018,Badajoz,La Serena,Europe
Cabeza la Vaca,ESP,City,Spain,64,GlobalCovenantofMayors2019;NAZCA,2,38.086656,-6.421713,1430,2006,Badajoz,NA,Europe
Cabra del Camp,ESP,City,Spain,27.03,GlobalCovenantofMayors2019;NAZCA,2,41.3952451,1.2772435,1115,2018,Tarragona,Alt Camp,Europe
Cabra del Santo Cristo,ESP,City,Spain,186,GlobalCovenantofMayors2019;NAZCA,2,37.703349,-3.287288,2027,2018,Jaén,NA,Europe
Cabrera d'Anoia,ESP,City,Spain,17,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.47944444,1.704722222,1368,2018,Barcelona Province,Anoia,Europe
Cabrera de Mar,ESP,City,Spain,9,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.5276986,2.3925117,4408,2018,Barcelona Province,Maresme,Europe
Cadelbosco di Sopra,ITA,City,Italy,43.6,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,44.7633191,10.5951823,10576,NA,Reggio Emilia,,Europe
Caldas da Rainha,PRT,City,Portugal,255.69,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,39.40722222,-9.135833333,51729,2011,Centro,Leiria,Europe
Calderara di Reno,ITA,City,Italy,40.75,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,44.56666667,11.26666667,13322,NA,Bologna,,Europe
Caldes d'Estrac,ESP,City,Spain,0.9,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.5721233,2.5278452,2799,2018,Barcelona Province,Maresme,Europe
Caldes de Malavella,ESP,City,Spain,57.3,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.8397245,2.8082545,7107,2018,Girona,Selva,Europe
Caldes de Montbui,ESP,City,Spain,37.4,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,41.62916667,2.169444444,16885,2018,Barcelona Province,Vallès Oriental,Europe
Calice al Cornoviglio,ITA,City,Italy,33.75,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,44.2431516,9.8366712,1175,NA,La Spezia,,Europe
Callosa d'en Sarrià,ESP,City,Spain,34.66,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.65138889,-0.122777778,7370,2018,Valencia,Marina Baixa,Europe
Callosa de Segura,ESP,City,Spain,25,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,38.1251825,-0.8778547,18079,2018,Alicante,Vega Baja del Segura,Europe
Calonge de Segarra,ESP,City,Spain,37.2,GlobalCovenantofMayors2019;NAZCA,2,41.741045,1.491824,200,2018,Barcelona Province,Anoia,Europe
Calore e Alburni,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,40.452333,15.2636013,22855,NA,Campania,Salerno,Europe
Calusco d'Adda,ITA,City,Italy,8.33,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.691379,9.472649,8296,NA,Bergamo,,Europe
Calzadilla de los Barros,ESP,City,Spain,52,GlobalCovenantofMayors2019;NAZCA,2,38.300464,-6.317461,880,2018,Badajoz,NA,Europe
Câmara de Lobos,PRT,City,Portugal,52.14,CDPCities2018;GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,4,16.9833,3.26333,35666,0,Madeira,,Europe
Campagnano di Roma,ITA,City,Italy,46.94,GlobalCovenantofMayors2019;NAZCA,2,42.138614,12.380263,11592,NA,Latium,Rome,Europe
Campitello di Fassa,ITA,City,Italy,25.02,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.48333333,11.73333333,746,NA,Trento,Trentino,Europe
Campo de Criptana,ESP,City,Spain,302.41,GlobalCovenantofMayors2019;NAZCA,2,39.400605,-3.125278,14387,2018,Ciudad Real,Mancha Alta,Europe
Campo de Mirra,ESP,City,Spain,21.8,GlobalCovenantofMayors2019;NAZCA,2,38.6864162,-0.77828870000000006,437,2018,Alicante,Alt Vinalopó,Europe
Campo di Giove,ITA,City,Italy,28.9,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,42.01111111,14.04027778,859,NA,Province of L'Aquila,L'Aquila,Europe
Campobello di Licata,ITA,City,Italy,81.33,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.25,13.91666667,10328,NA,Agrigento,,Europe
Campobello di Mazara,ITA,City,Italy,65.83,GlobalCovenantofMayors2019;NAZCA,2,37.632305,12.74837,10812,NA,Trapani,,Europe
Campofelice di Fitalia,ITA,City,Italy,35.46,GlobalCovenantofMayors2019;NAZCA,2,37.826716,13.486203,544,NA,Sicily,Palermo,Europe
Campofelice di Roccella,ITA,City,Italy,14.51,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.98333333,13.88333333,7102,NA,Palermo,,Europe
Campoli del Monte Taburno,ITA,City,Italy,9.8,GlobalCovenantofMayors2019;NAZCA,2,41.130873,14.647249,1534,NA,Benevento,,Europe
Campos del Rio,ESP,City,Spain,47.29,GlobalCovenantofMayors2019;NAZCA,2,38.040844,-1.352952,2200,2018,Murcia,Río Mulal,Europe
Canal san Bovo,ITA,City,Italy,125.68,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.15,11.73333333,1586,NA,Trentino-Alto Adige/Südtirol,Trentino,Europe
Cancello ed Arnone,ITA,City,Italy,49.3,GlobalCovenantofMayors2019;NAZCA,2,41.06985,14.018844,5780,NA,Caserta,,Europe
Canet d'Adri,ESP,City,Spain,44.4,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,42.0332009,2.7377666,650,2014,Girona,Gironès,Europe
Canet de Mar,ESP,City,Spain,5.6,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.5900933,2.5777998,13548,2018,Barcelona Province,Maresme,Europe
Cañete de las Torres,ESP,City,Spain,104,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.86666667,-4.316666667,3211,2018,Córdoba,NA,Europe
Canillas de Aceituno,ESP,City,Spain,42,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,36.8731665,-4.082126,2300,2018,Málaga,Axarquía,Europe
Canneto sull'Oglio,ITA,City,Italy,25.87,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.15,10.38333333,4474,NA,Mantua,,Europe
Canonica d'Adda,ITA,City,Italy,3.21,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.58333333,9.533333333,4455,NA,Bergamo,,Europe
Canosa di Puglia,ITA,City,Italy,150.93,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.219631,16.067466,31150,NA,Barletta-Andria-Trani - Andria - Trani,Barletta-Andria-Trani,Europe
Capesterre de Marie-Galante,FRA,City,France,NA,GlobalCovenantofMayors2019;NAZCA,2,15.8927458,-61.2215919,3442,2013,Marie-Galante,,Europe
Capo d'Orlando,ITA,City,Italy,14.43,EUCovenantofMayors2019;NAZCA,2,38.15,14.73333333,13221,2015,Messina,,Europe
