name,iso,entity_type,country,area,initiatives_committed,num_commit,lat,lng,population,population_year,state,admin_1,region
Paiporta,ESP,City,Spain,3.9,GlobalCovenantofMayors2019;NAZCA,2,39.4288431,-0.4193766,25084,2018,Valencia,Horta Sud,Europe
Paisco Loveno,ITA,City,Italy,35.87,GlobalCovenantofMayors2019;NAZCA,2,46.07286015,10.22921576,184,NA,Brescia,,Europe
Paitone,ITA,City,Italy,8,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.55,10.4,1658,NA,Brescia,,Europe
Pájara,ESP,City,Spain,383.52,GlobalCovenantofMayors2019;NAZCA,2,28.35089,-14.108119,20500,2018,Las Palmas,Fuerteventura,Europe
Pakruojis,LTU,City,Lithuania,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,55.96666667,23.86666667,27008,2011,Šiauliai County,NA,Europe
Paks Város Önkormányzata,HUN,City,Hungary,154.08,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.622047,18.855918,19833,NA,Tolna,,Europe
Paladina,ITA,City,Italy,2.09,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.7306737,9.6079944,4024,NA,Bergamo,,Europe
Palafolls,ESP,City,Spain,16.6,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.6673913,2.7499262,8900,2018,Barcelona Province,Maresme,Europe
Palafrugell,ESP,City,Spain,26.9,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.917915,3.162884,22880,2018,Girona,Baix Empordà,Europe
Palagonia,ITA,City,Italy,57.79,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.3273551,14.7453315,16429,NA,Catania,,Europe
Palaio Faliro,GRC,City,Greece,4.574,GlobalCovenantofMayors2019;NAZCA,2,37.931932,23.700804,64759,2011,Attica,South Athens,Europe
Palamos,ESP,City,Spain,14,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.8495354,3.1278785,17900,2018,Catalonia,Baix Empordà,Europe
Palanzano,ITA,City,Italy,69.8,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,44.43333333,10.2,1128,NA,Parma,,Europe
Palata,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.8905148,14.785357,1762,NA,Campobasso,,Europe
Palau,ITA,City,Italy,459,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.1810758,9.3820424,4467,2016,Sassari,,Europe
Palazuelo,ESP,City,Spain,8,GlobalCovenantofMayors2019;NAZCA,2,39.110153,-5.739856,524,2018,Burgos,,Europe
Palazzago,ITA,City,Italy,13.96,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.7525716,9.5337183,4249,NA,Bergamo,,Europe
