name,iso,entity_type,country,area,num_commit,lat,lng,population,population_year,state,admin_1,initiatives_committed,region
Sangüesa / Zangoza,ESP,City,Spain,NA,NA,42.583,-1.2830000000000001,4962,NA,NA,NA,EUCovenantofMayors2021,Europe
Sanguinetto,ITA,City,Italy,13.51,3,45.18333333,11.15,4108,NA,Verona,,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sankt Leon-Rot,DEU,City,Germany,25.56,3,49.2660214,8.610831,12839,NA,Baden-Württemberg,Rhein-Neckar-Kreis,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sankt Leon-Rot,DEU,City,Germany,25.56,3,49.2660214,8.610831,12839,NA,Baden-Württemberg,Rhein-Neckar-Kreis,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sankt Leon-Rot,DEU,City,Germany,25.56,3,49.2660214,8.610831,12839,NA,Baden-Württemberg,Rhein-Neckar-Kreis,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sankt Vith,BEL,City,Belgium,146.93,3,50.2803881,6.1258953,9450,NA,Liège,Verviers,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sankt Vith,BEL,City,Belgium,146.93,3,50.2803881,6.1258953,9450,NA,Liège,Verviers,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sankt Vith,BEL,City,Belgium,146.93,3,50.2803881,6.1258953,9450,NA,Liège,Verviers,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sanlúcar de Barrameda,ESP,City,Spain,170.93,NA,36.766999999999996,-6.35,68037,2018,Cádiz,Cádiz,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sanlúcar de Guadiana,ESP,City,Spain,49,NA,37.47255,-7.46655,396,2018,Huelva,Sanlúcar de Guadiana,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sanlúcar la Mayor,ESP,City,Spain,135.41,NA,37.38306,-6.2,13683,2018,Seville,Seville,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sannazzaro de' Burgondi,ITA,City,Italy,23.3,NA,45.1,8.9,5920,2010,Pavia,Pavia,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sannicola,ITA,City,Italy,27.64,3,40.1,18.06666667,5965,NA,Lecce,Template:Provincials,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sanski Most,BIH,City,Bosnia and Herzegovina,781,NA,44.766999999999996,16.667,41475,2013,Una-Sana Canton,Una-Sana Canton,EUCovenantofMayors2021,Eastern Europe and Central Asia
Sanski Most,BIH,City,Bosnia and Herzegovina,781,NA,44.766999999999996,16.667,41475,2013,Una-Sana Canton,Una-Sana Canton,EUCovenantofMayors2021,Eastern Europe and Central Asia
Sanski Most,BIH,City,Bosnia and Herzegovina,781,NA,44.766999999999996,16.667,41475,2013,Una-Sana Canton,Una-Sana Canton,EUCovenantofMayors2021,Eastern Europe and Central Asia
Sanski Most,BIH,City,Bosnia and Herzegovina,781,NA,44.766999999999996,16.667,41475,2013,Una-Sana Canton,Una-Sana Canton,EUCovenantofMayors2021,Eastern Europe and Central Asia
Sanski Most,BIH,City,Bosnia and Herzegovina,781,NA,44.766999999999996,16.667,41475,2013,Una-Sana Canton,Una-Sana Canton,EUCovenantofMayors2021,Eastern Europe and Central Asia
Sant Adrià de Besòs,ESP,City,Spain,3.8,NA,41.4285,2.2230000000000003,36669,2018,Barcelona,Badalona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
